,DateAndHour,K,r1,L1,L2,r2,d1,o1,o2,sigma_ccle,sigma_tcga,sigma_ccle_diff,sigma_tcga_diff,repetition,last_stop_control,last_delta_control,objectiveFunction,WeightedAverage(0.2*rho+0.4AUC+0.2*BioScore),rho_1_drug,rho_2_mirna,rho_0_cnv,rho_3_mrna,AUC_H_0_cnv,AUC_H_1_drug,AUC_H_2_mirna,AUC_H_3_mrna,AUC_H_average,min_var_in_cod_0_cnv,min_var_in_cod_1_drug,min_var_in_cod_2_mirna,min_var_in_cod_3_mrna,max_var_in_cod_0_cnv,max_var_in_cod_1_drug,max_var_in_cod_2_mirna,max_var_in_cod_3_mrna,mean_var_in_cod_0_cnv,mean_var_in_cod_1_drug,mean_var_in_cod_2_mirna,mean_var_in_cod_3_mrna,perc_cod_no_vacios_0_cnv,perc_cod_no_vacios_1_drug,perc_cod_no_vacios_2_mirna,perc_cod_no_vacios_3_mrna,perc_var_incluidas_0_cnv,perc_var_incluidas_1_drug,perc_var_incluidas_2_mirna,perc_var_incluidas_3_mrna,BioRelevanceScore,codEnrich_over_codTotal,densityPenalization,TotalDots/DotsRef,geneRatio_avg,geneRatio_sd
0,06:33.0,10,0,0,0,0,0,1,1,1,1,2,2,3,2.98E-08,1,[[-5755071.5688295]],0.661511935,0.824019579,0.864260519,NA,NA,0.605102067,0.877291922,0.743337191,0.65765009,0.720845318,71,15,16,85,133,31,32,133,99.3,22.9,25.2,114,1,1,1,1,0.77578125,0.874045802,0.75,0.538497874,0.510864496,1,[0],0.724,0.081946788,0.03178145
1,08:15.4,10,0,0,0,0.001,0,1,1,1,1,2,2,3,2.98E-08,1,[[-5753763.46005839]],0.660853531,0.824019579,0.86428414,NA,NA,0.605099289,0.877291922,0.743294911,0.657698793,0.720846229,71,15,16,85,133,31,32,133,99.3,22.9,25.2,113.9,1,1,1,1,0.77578125,0.874045802,0.75,0.538025508,0.509211669,1,[0],0.724,0.081969948,0.031840476
2,10:00.7,10,0,0,0,0.05,0,1,1,1,1,2,2,3,2.98E-08,1,[[-5691210.51689479]],0.661422436,0.824019579,0.86417391,NA,NA,0.605282498,0.877278325,0.742522676,0.658124939,0.720802109,71,15,15,86,133,31,32,133,99.2,22.9,25.2,114.1,1,1,1,1,0.775,0.874045802,0.75,0.538970241,0.510705608,1,[0],0.725,0.081803903,0.031753268
3,11:42.3,10,0.001,0,0,0,0,1,1,1,1,2,2,3,2.97E-08,1,[[-5756398.33604313]],0.661512662,0.824019579,0.864260519,NA,NA,0.605102067,0.877291922,0.743347821,0.657646729,0.720847135,71,15,16,85,133,31,32,133,99.3,22.9,25.2,114,1,1,1,1,0.77578125,0.874045802,0.75,0.538497874,0.510864496,1,[0],0.724,0.081946788,0.03178145
4,13:24.3,10,0.001,0,0,0.001,0,1,1,1,1,2,2,3,2.97E-08,1,[[-5755089.44451236]],0.660858986,0.824019579,0.86428414,NA,NA,0.605104845,0.877291922,0.743337191,0.657705508,0.720859867,71,15,16,85,133,31,32,133,99.3,22.9,25.2,113.9,1,1,1,1,0.77578125,0.874045802,0.75,0.538025508,0.509211669,1,[0],0.724,0.081969948,0.031840476
5,15:07.3,10,0.001,0,0,0.05,0,1,1,1,1,2,2,3,2.98E-08,1,[[-5692499.13203118]],0.661422158,0.824019579,0.86417391,NA,NA,0.60527972,0.877278325,0.742522676,0.658124939,0.720801415,71,15,15,86,133,31,32,133,99.2,22.9,25.2,114.1,1,1,1,1,0.775,0.874045802,0.75,0.538970241,0.510705608,1,[0],0.725,0.081803903,0.031753268
6,16:48.6,10,0.05,0,0,0,0,1,1,1,1,2,2,3,2.84E-08,1,[[-5822007.90373403]],0.661072158,0.82417497,0.863937705,NA,NA,0.605196587,0.876078188,0.744606324,0.657811305,0.720923101,71,15,16,85,133,32,32,133,99.2,22.8,25.2,114.1,1,1,1,1,0.775,0.870229008,0.75,0.538970241,0.509729124,1,[0],0.715,0.081512755,0.031589069
7,18:29.2,10,0.05,0,0,0.001,0,1,1,1,1,2,2,3,2.84E-08,1,[[-5820660.24867951]],0.661075236,0.82417497,0.863937705,NA,NA,0.605196587,0.876078188,0.744616953,0.657831463,0.720930798,71,15,16,85,133,32,32,133,99.2,22.8,25.2,114.1,1,1,1,1,0.775,0.870229008,0.75,0.538970241,0.509729124,1,[0],0.715,0.081512755,0.031589069
8,20:11.7,10,0.05,0,0,0.05,0,1,1,1,1,2,2,3,2.85E-08,1,[[-5756219.33961719]],0.66050164,0.824485753,0.863811728,NA,NA,0.605299463,0.876335878,0.743062327,0.658289496,0.720746791,71,15,15,86,133,31,32,133,99.3,22.8,25.2,113.9,1,1,1,1,0.77578125,0.870229008,0.75,0.538025508,0.508432939,1,[0],0.725,0.08147504,0.031295642
9,21:56.5,10,0,0,0,0,0.001,1,1,1,1,2,2,3,2.98E-08,1,[[-5755071.11969096]],0.661511935,0.824019579,0.864260519,NA,NA,0.605102067,0.877291922,0.743337191,0.65765009,0.720845318,71,15,16,85,133,31,32,133,99.3,22.9,25.2,114,1,1,1,1,0.77578125,0.874045802,0.75,0.538497874,0.510864496,1,[0],0.724,0.081946788,0.03178145
