,DateAndHour,K,r1,L1,L2,r2,d1,No. repetitions,tolerance,last_stop_control,ObjectiveFunction,WeightedAverage(0.2*rho+0.4AUC+0.2*BioScore),rho_1_drug,rho_2_mirna,rho_0_cnv,rho_3_mrna,AUC_H_0_cnv,AUC_H_1_drug,AUC_H_2_mirna,AUC_H_3_mrna,AUC_H_average,min_var_in_cod_0_cnv,min_var_in_cod_1_drug,min_var_in_cod_2_mirna,min_var_in_cod_3_mrna,max_var_in_cod_0_cnv,max_var_in_cod_1_drug,max_var_in_cod_2_mirna,max_var_in_cod_3_mrna,mean_var_in_cod_0_cnv,mean_var_in_cod_1_drug,mean_var_in_cod_2_mirna,mean_var_in_cod_3_mrna,perc_cod_no_vacios_0_cnv,perc_cod_no_vacios_1_drug,perc_cod_no_vacios_2_mirna,perc_cod_no_vacios_3_mrna,perc_var_incluidas_0_cnv,perc_var_incluidas_1_drug,perc_var_incluidas_2_mirna,perc_var_incluidas_3_mrna,BioRelevanceScore,codEnrich_over_codTotal,densityPenalization,TotalDots/DotsRef,geneRatio_avg,geneRatio_sd
0,2021-08-05 09:55:56.010085,30,0.0001,0.0001,0.0001,0.0001,0.0001,30,1e-07,0.0,38113.66055911942,0.6414654864502082,1.0,1.0,NA,NA,0.57558067069348,0.6055353475185266,0.6469666565185745,0.5929695963232073,0.6052630677634471,2,1,1,27,151,36,96,127,53.46666666666667,12.296296296296296,16.92,71.16666666666667,1.0,0.9,0.8333333333333334,1.0,1.253125,1.2671755725190839,1.2589285714285714,1.0085025980160605,0.49840064836207326,0.9,[0],0.612,0.10703592154892795,0.04425319563415967
1,2021-08-05 09:58:49.609014,30,0.0001,0.0001,0.0001,0.01,0.0001,30,1e-07,0.0,199067.4341012232,0.6349421855287132,1.0,1.0,NA,NA,0.5706508391203703,0.5472229236403819,0.6760205918787268,0.6052641936840969,0.599789637080894,4,2,1,21,118,119,83,215,53.43333333333333,23.571428571428573,14.166666666666666,70.93333333333334,1.0,0.4666666666666667,1.0,1.0,1.25234375,1.2595419847328244,1.2648809523809523,1.005196032120926,0.4875658267408889,0.8666666666666667,[0],0.635,0.1060706035207174,0.04847007025160046
2,2021-08-05 10:00:31.424838,30,0.0001,0.0001,0.0001,1.0,0.0001,30,1e-07,0.0,271066.74480411253,0.6569639067341336,1.0,1.0,NA,NA,0.6023171422887731,0.6501072414410799,0.7239636523333614,0.7232641316787932,0.6749130419355018,34,6,8,43,64,16,32,93,53.266666666666666,11.033333333333333,14.233333333333333,71.06666666666666,1.0,1.0,1.0,1.0,1.2484375,1.2633587786259541,1.2708333333333333,1.007085498346717,0.467496724899832,0.9333333333333333,[0],0.904,0.10134793128382076,0.034232429037233746
3,2021-08-05 10:02:19.184001,30,0.01,0.0001,0.0001,0.0001,0.0001,30,1e-07,0.0,339598.282110722,0.6432188186398251,1.0,1.0,NA,NA,0.5784584424430942,0.650136924018788,0.6801040704347582,0.5843165819811483,0.6232540047194471,14,2,2,41,85,32,31,163,53.4,10.933333333333334,14.2,71.13333333333334,1.0,1.0,1.0,1.0,1.2515625,1.251908396946565,1.2678571428571428,1.0080302314596126,0.4847930418801154,0.9333333333333333,[0],0.824,0.10098786312225962,0.037551562791825234
4,2021-08-05 10:04:01.675863,30,0.01,0.0001,0.0001,0.01,0.0001,30,1e-07,0.0,623595.1266442538,0.6335494150389354,1.0,1.0,NA,NA,0.5760613124517747,0.6503680251158059,0.6639609315948602,0.6152639178326894,0.6264135467487826,33,6,7,39,84,18,24,108,53.4,10.966666666666667,14.066666666666666,71.03333333333333,1.0,1.0,1.0,1.0,1.2515625,1.2557251908396947,1.255952380952381,1.0066131317902693,0.45745999084855565,0.9,[0],0.831,0.09740825749187541,0.0335567820316359
5,2021-08-05 10:05:58.464543,30,0.01,0.0001,0.0001,1.0,0.0001,30,1e-07,0.0,524558.223809276,0.6578002932548408,1.0,1.0,NA,NA,0.5998419451678241,0.6494547858660286,0.7179059149379917,0.7193404237352642,0.6716357674267771,30,5,7,43,64,16,30,96,53.4,11.033333333333333,14.2,71.03333333333333,1.0,1.0,1.0,1.0,1.2515625,1.2633587786259541,1.2678571428571428,1.0066131317902693,0.47286496571032494,0.9666666666666667,[0],1.065,0.10235299756570877,0.03589320236840924
6,2021-08-05 10:12:50.132561,30,1.0,0.0001,0.0001,0.0001,0.0001,30,1e-07,0.016168428676,27718260.322715223,0.6270849792722842,1.0,1.0,NA,NA,0.5700324242862654,0.6248350372399086,0.6542656280619245,0.6542179392931283,0.6258377572203067,5,4,2,33,121,31,30,168,55.206896551724135,11.448275862068966,14.066666666666666,71.03333333333333,0.9666666666666667,0.9666666666666667,1.0,1.0,1.25078125,1.2671755725190839,1.255952380952381,1.0066131317902693,0.44187469096040394,0.8666666666666667,[0],1.163,0.11146574485647655,0.04595359400258627
7,2021-08-05 10:19:44.858282,30,1.0,0.0001,0.0001,0.01,0.0001,30,1e-07,0.006507508866,28352819.492082436,0.6238034668536558,1.0,1.0,NA,NA,0.5611587058738426,0.6233753824527478,0.6275811847372694,0.6121392664152902,0.6060636348697875,8,1,1,17,108,33,73,236,53.4,11.517241379310345,14.586206896551724,71.13333333333334,1.0,0.9666666666666667,0.9666666666666667,1.0,1.2515625,1.2748091603053435,1.2589285714285714,1.0080302314596126,0.45344503226435195,0.8666666666666667,[0],0.913,0.11330037125239142,0.058236092198178414
8,2021-08-05 10:21:38.758796,30,1.0,0.0001,0.0001,1.0,0.0001,30,1e-07,0.0,54215777.53257111,0.6317330753980931,1.0,1.0,NA,NA,0.5770067099488811,0.6497263030371047,0.6602502117101986,0.6220304627714381,0.6272534218669057,38,7,8,42,66,17,23,97,53.333333333333336,11.1,14.1,71.16666666666667,1.0,1.0,1.0,1.0,1.25,1.2709923664122138,1.2589285714285714,1.0085025980160605,0.452079266628327,0.9,[0],0.931,0.10164230521467463,0.03394831444893333
9,2021-08-05 10:24:30.647628,30,0.0001,0.0001,0.0001,0.0001,0.01,30,1e-07,0.0,38113.64731779705,0.6414654864502082,1.0,1.0,NA,NA,0.57558067069348,0.6055353475185266,0.6469666565185745,0.5929695963232073,0.6052630677634471,2,1,1,27,151,36,96,127,53.46666666666667,12.296296296296296,16.92,71.16666666666667,1.0,0.9,0.8333333333333334,1.0,1.253125,1.2671755725190839,1.2589285714285714,1.0085025980160605,0.49840064836207326,0.9,[0],0.612,0.10703592154892795,0.04425319563415967
